Target,Cleaned
0,गगन थापा ज्यु जय होस जय नेपाल
0,बिप्लव नेता मकेभन्चाहानछु देश सोजासाज जन्ता नहोस भ्रष्चारि दलाल भुसिया कुकुर ठिक पार्न गोलि ठोक्नु परे ठोक्नुहोस तेस् सपोट
0,सर प्रसन गरेने सैलिचै सहि लाग्छ
1,लुटतन्त्र राजा हौ कम छैनौं
1,लुट लुट साला बाउ सम्पती नेपाल लुट याद राख चोर भ्रष्टाचारि परित्राणाय साधुनाम बिनासचाय दुसकृताम
1,रमेश खरेल सम्जिय है रमेश खरेल रबि लामिछाने नय पाउने कसो साथी नालयक सरकार राजीनामा
0,कुरो सहि गरो है
1,राजा देश बिचियो सरकारि जग्गा बिचियो खाते पार्टी नेता अाए सब बेच्न थाले
1,चोर सहकारी संस्था पीडित सहकारी संस्था स्टाफ लगायत सम्पूर्ण कारबाही
1,विधेक चोर भ्रस्टचारी बाहुन छेत्री नेवारी किरात आदिबासी संसृति मास्ने पेल्ने मनसाय
1,थुक्क नालायक भ्रष्टाचरि नेता राडि छोरा केपि प्रचण्ड देउवा दलाल चिक्ने
1,रिकॉर्ड फाईल रे लिन्छौ साले पोस्ट जादा कार्यकाल समल्दा
1,रत्नपार्क ब्यपार हैसियत भनेर अाफ्नाे पदकाे मर्यादा थाहा बाधेर घासहाल्नु
0,प्रहरी गफ साला
0,पार्टीगत व्यवहार राष्ट्रपति देखाउन भएन
0,नाक डाडी हैन ढाड भाच्नु
0,देश रबि दाइ जिन्दावाद खुशि लाग्यो
1,खाते पुलिस भ्रष्टचार समर्थन भ्रष्टाचार बिरुद्ध उठे देश भकति ज्ञानेन्द्र फसाएर मार्ना खोजी रहे खाते भेटीयो मारी
1,जनता चाहे राजा फर्सी फुटाय झै फुटाउने गणतन्त्र
1,अहिले सताधारी जति पद्च्युत नगरी देश बाट भ्रष्टाचार कहिले उन्मुलन हुन्न
0,हान्छु गोली आयेर चोरहरुलाइ याद
0,प्रतीक्षा फल मिठो भन्छन तपाई विश्वास तोडन मृत्यु प्रछ
0,रबि फसाउने काम पमि रबि
1,सुशासन रहित भ्रष्ट ब्यक्ति सत्ता रहे स्थिरता झनै खतरनाक
1,दिनदहाडै सफेद झूठ बोल्ने जनता बेवकूफ ठान्ने
1,सत्ता धल्छ नेता मन्त्री साइद लागे काम मुला
0,अनि बिजुच्छे सहि छन भनेर जान्ने जनता
0,मन ढुक्क सिधाकुरा जनता हेर्न
1,हाम्रा मठ मन्दिर गुम्बा धर्म सस्कृति धाेस्त पारेर ईनि हाेलिविन हाेचिविन काे मुत खाने ख्रिस्चियन चर्च बनाउन खाेजेकाे नपालि जनता मिलेर देस निकाला
1,कुन जनता भौट विलछ हैजा
1,छाती ठोकेर यसै कारण देश माग्ने भई सके
1,लोकतन्त्र नाम भ्रष्ट दादागिरी तंत्र देश
1,पत्रकार बोल्न जान्दैन जर्नलिस्ट
1,तेस्काे डिग्री तेहि कुनेताकाे झाेला बाेक्ने कुन चाहिँ नाैलाे काम गरेकाे
1,नेकपा मुला पशुपति सेलाउन लगे तेरि टोक्ने पढाइ घमण्ड बुद्धि मुला
0,नगरे हाे राष्टपति मान्छे बराबर हेर्नू
1,पाठक घांस तलुवा चटुवा बडि बिद्वान पर्दैन पास घन्टा गर्छन दिबेश जि सहि ख़्याल राख दिन सकिए तिमि रेलिंग भांचे
0,छाति हात राखेर भन्न चाहान्छु रबि सर हजुर साहासि पन हिर्दय सलाम
0,पुण्य गाैतम भेट्यो तेहि ठोक्नु यता हाजिर गराै
0,बिस्तारै बोल्नु हवस् हौ बरिस्ठ जिउ कति बेसि पेसर ओप
0,रवि सर आवज सुन्दा आम जनता समस्या समाधान भैहाल्यो झै लाग्छ
1,रामहरी जन्तु सेरबहादुर देउबा नाम सुन्ने बितिकोइ बुरुक्क उफृन्छ जङलि
1,देश राजा नाम शासन बिभिन्न दल भारत आड पार्टि जन्माएर चाणक्यनिति शासन देश बिकाश हुदैन
1,केन्द्र जिल्ला जिल्ला वर्दीधारी गुन्डा हालीमुहाली
1,चोर कति मन रो है
0,आवाजबिहिन गरिब दुखी आपत बिपत्ति अनि जस्ता लाखौ फ्यान लागिआज दशै तिहार आएझै लागेकोछ
1,मुजि बक्बास नगरी राजस्वा तिर्ने कुल मान घिसिङ्ग जि अफ्ठेरो पार्ने काम बन्दा बिधुत छोर दलाली ब्यपारी
0,लाईन होईना बिल नतिर्ने उद्योगी घाटि काटनु प्रछ साले खाते
1,सरकार हिम्मत रवि दाइ फसायर देखा अनि थाहा देश यसकाे मूल्य ठुलाे चेतना भय
1,आचार्य बक्ता जनता आवाज हेक् होश चोर नेता
1,तिमि नेपाल कुपुत्र सन्तान हौ लुट लुटेरा
0,बाबुराम पीएडी ऊसतै चोर पुन्य पातकी डाका
0,सहि
0,आशा विवेकशील साझा
1,सोम प्रसात पान्दे कुत्ता बोला जन्ता हित गरदैन
0,सुशील जि हजुर सलाम
0,रबि हैन उस बाउ फरक पर्दैन काम मेयर साब समर्थन
0,नमस्कार रवि सर् बल्ल न्युज च्यानल हेर्न पाईयो सलाम रवि सर
1,हे भगवान देश चोर नेता सङ्ग बचाउ
1,बारम्बार भाइरस प्रचण्ड दलाल दिल निशानी मगरलाइ बोलाइ अन्तरबार्ता गरेउ
1,कति लाजमर्दो सरकारि जग्गा कति मन्त्रिलाइ थाहै रे खालि बसेर तलब भत्ता खान्छौ लाज मान
1,भ्रष्ट नेता दलाल उध्योगपति मिलिमतो गोही आँशु
0,दिपक गिरि सर साचै मन छोयो
0,जनता प्रधानमन्त्री रबि लामिछाने
1,नेकपा काे नेता लाजमर्दो गरे छन
1,प्रस्न सोध्ने चाइ भेडे रैछ
1,तेस्ता मुजि प्रतिपक्षी रे
0,पर्मात् असिम किर्पा मेहेर पल पल बर्सी रहोस
0,नेपाली जहि अरु
1,तेरो संबीधान जन्ता ढेल पुछेर फाली दीन्छन्
1,यस्ता फुस्रा भासन कोहि सुन्न मान्दैनन् जनता लाटा छैनन राजा आउ देश बचाउ राजा पाल्नु राजा पाल्नुनै बेस
1,पार्टी पार्टी हैन सब चोर भ्रष्ट देश बनाउने कम्युनिस्ट काङ्ग्रेस
0,चोती राजा अवसर राज्य संचालन
1,जनता कत्ती सुरक्षा
0,ऋषि कुकुर खै
0,काम समर्थन नराम्रो कामलाइ घोर बिरोध
1,राज्य संयन्त्र सेटिङ्ग मिलाएर पहुँच आधार सर्बसाधारण जनता लुट्ने इतिहास नभए अपराधीतन्त्र नर्क बाट उन्मुक्ति कहिले पाउने
0,पत्रकार सम्मान
0,सिके राउत जेगर्दानी हुनि राजा बोल्न नहुनी दम छभने राजा नराख्ने जनमत सङ्ग्रह
0,रबि ब्यक्ति हैन रबि युग जय रबि जय नेपाल
0,मेयर जि जिन्दवाद मेयर नया पाउन गर्नुस
0,झण्डा कहिले नझुकोस रबि जी
0,रबि सर समर्थन जय रबि सर रबि सर रिहा
0,गफ काम देखाउन
0,रबि ब्रदर क्षे माग्नु पर्दैन मन्त्री नसके काम पुन्य तपाइलाइ धन्यवाद
0,हामिलाइ राजा है केपि ओअनि हैन प्रचण्ड हैन सेरे हैन पार्टी प्रतिनिधि हैन खाली रबि लामिछाने जस्ता समाज सेबि देश प्रधानमन्त्री रबि सर भय पुग्छ
1,बम्जन् बचाउन लागी पछी छानबीन जेल हाल्नुपर्छ
1,पुन्य पागल सुन्दा कान दुख्छ
1,खेम गुल्ले भन्डारी ठिस मुकुन्दे एन्ड दिल ठिसानी मगर
1,यस्ता पत्रकार
0,ॠषि धमला पागल हाे हावाकाे सब थहा कस दिएकाे पत्रकारकाे नक्कली लैसन
1,नेपाली जन्ता झन बेकुप
0,मेयर सयेब काठमाडौं खाचो काठमाडौं सम्हाल्नु आउनु पार्यो
0,माननीय कमेन्टर यता हाजिर उता हाजिर भनेर बकवास बैचारिक कमेन्ट समर्थन योग्य धारण राख्नुहोला
1,बाहुनबाद आदिबासिलाइ दबाउन खोजिरा
0,रबि देश प्रधानमन्त्री हुनै
0,फेशबुक हेर्ने नसके युटुब बाट हेर्दैछु सलाम रबि सर
1,परीस्थिती बन्दैन नेपाल रबि लामिछाने नचलाए
0,सहयोग
1,रिसि सर भनेर सम्बोधन आजा तर्क हेर्दा घिन लाग्छ बिचार लिनु भोलि सोच्नु नेता सङगै जेल जानू दिन कुर्ना पर्दैना
0,सलाम हजुर
0,फरक बिचार भएता नेपाली राजनिति अत्यन्तै श्रद्धावान आदर्श व्यक्तित्व
1,पत्रकार काम पहिला सग अध्ययन अनि पत्रकार बन जस्ता पुत्रकार इमानदार पत्रकार बदनाम भाछ
0,गूठी जज्गा घर मान्छे पैसा गरिदेउ गग्जा हैन
1,अपराधि प्रचन्डे झोले फुर्ति नगरे पुन्य गौतम कुकुर
1,बम दिदि बैनि मुर्दावाद
0,मेयर साब तपाई महान तपाई अडिग बस्नु सलाम तपाइ
0,राताे काेट लगाउने भाईकाे सहिछ
1,रबि सर फसाउने षड्यन्त्र पुडासैनी झुट बोल्न लगाईयो बाच्ने आशा झुट बोलिदिए बोलिसकेपछी मारिदिए सत्यतथ्य यहि
0,रबि दाई माया जति यता कार्य संमान स्वरुप लाईक है साथी
1,गल्ती जैले पुरानो पार्टी चयन
1,अनि पुरानो सम्रचना कर्मचारी जरै फाकेर योग्य कर्मचारी शिक्षक हर ठाउँ हुनुर्ुपर्छ अनि रोकिएला देश खाल्डा जाओस्
1,एमाले भोट हाल्ने हात इनै इनि एस्तो घिनलाग्दो चरीत्र हेर्दा अहिले जनमतसंग्रह गरेउ भोट राजालाइ
0,जनतालाइ विभाजन चोर नेता
1,गणतन्त्र मुर्दाबाद रिप राजा अाउ देश बचाउ
0,क्यामेरा एकछी रगत छात्ने हान्नु साले कुकुर रिस उठे
0,सारै मिठो मजा आउँछ हजुर स्पिच सुन्न हेर्न जय रवि
1,अहिले प्रहरी संगठन होलि वाइन प्रभाव परे स्पस्ट बुझिन्छ
1,हैन हाम्रोदेस नेपाल पुलिस काहाॅ काम गरेकोछत
0,कार्यक्रम पछी दासै लाग्छ
1,छाला उतारेर लौ झुन्डे झै झुन्डाउनु
0,बिचार मेयर साब
0,नेपाल प्रहरी चोर दलाल भ्रष्ट बलत्कारी समर्थन पुलीस
0,राजनीति आम्दानी पेसा बनाए चोर
0,अनि हत्यारा ज्ञाने चोर जेल कोच्नु
1,पापि जुन्सु कुना बाट लुछी लुछी भ्रस्टाचार गरे
0,रबि दाइ घटना सुनाउनु भो दुख सारै लाग्यो तपाई देस प्रधानमन्त्री नभैइ समस्या समाधान हुदैन
1,शालिकराम पुडासैनी हत्या किशोर श्रेस्ठ हात भनी ठोकुवा
1,पार्टी भतुवा देश इतिहास बिर्सेर कुरो राजा देश बनाय भय कहा बाट लोकतन्त्र गणतन्त्र ल्याथ्यो देश खोक्रो बनाइ सके यस्तै गद्दार नेता राजा फालेर आफु काम अनि पो सुहाउछ
0,अाउनु भाे नेपाली सच्चा पत्रकार सुशील सर
1,कराएर उफ्रेर काम माथी बस्ने टाउके मिलाई मिलाई खाई सके
0,कोइराला साहस्लाइ
0,देश तपाई मेयर देख्दा सरै खुशि
0,समर्थन कम्रेद बिप्लब
0,खाते अन्तर्वार्ता दिन आउने एकपटक आफु चिन्ने कोसिस
1,सुशील सर दिनै कंग्रेस कम्युष्ट येसरि ल्येर बहस गरानु सुन्न मजा अाउदो चोर चोर पोल खोला खोल्ल बिदेशि युवा सुनेर टाएम पास गरछै
1,सबैभन्दा दोषी नेपाली जनता तेस्तो खाते नेता जिताउने काम
1,यिनि निर्मला हत्यारा बम दिदिबहिनी
0,नेपाल ईतिहास एउ टा कर्मठ संचार कर्मि जनसागर उर्लिए राजा कमाउन नसके
0,मेयर खोजे काम चाइ एकदमै
0,देश जनता रबि दाइ खाचो रबि दाइ मन जति पीडा भयनी हामिलाइ खुशी दिन खोज्नु भा हजुर प्रधानमन्त्री हुनै
1,खुट्टा तान्ने प्रवृत्ती बाहुन
0,रबि लामिछाने पावर
0,उखान टुक्के पून्ने सागर कूरो सै लाग्यो
0,दिन होईन नेपाल एस्तै हूनूपर्छ
1,बाकिनै यहि गुठी अरुत खतम भै सके नदिनाला कलकारखाना धर्म सस्कृती गै बा आस लाग्दो नेपाली सेना गुठी
0,कुलमान सर उज्यालो नेपाल धन्यबाद भनेर सुरु गरम पत्रकार दाजु
0,यस्तै पत्रकार सुशिल सर देश भष्चटार कम सलाम सुशील सर
1,साला यता हाजिर उता हाजिर रिस उठ्छ कुरै छोड
1,रक्ष कुमार राई दिल निसानि मगर भ्रस्टचारि नेता भनाैदाहरुकाे निद हराम भएकाे अाज जय रबि जय देश
0,रबि सर माथी भरोसा बिस्वास गरे छन मंत्री भय पछी देश जन्ता लागी
1,तालु खुइले चम्किदै टाउको सिधै गोली हान्नु थियोे
0,उपस्थित विद्वान कस कस गुठी
0,उद्योग होस सर्बसाधारण बराबर चार्ज लगाउनु कुलमान सर बिजुलि बिल नतिर्ने लाइन काटिनु तब बल्ल देस आगाडि बढ्ने
1,वाउ भ्रष्टाचारि छाेरा इज्जत बचाउन कस्ताे गाराे
1,जनावर बाच्ने अधिकार कुन पागल एस्लाइ जिउदै खाल्डा पुर्नु
0,रबि पक्ष सच्चा देश भक्त
0,रबिन्द्र मिस्र तपाई
0,देश लाग्यो पाकिस्तान इमरान नेता खाँचो
0,पुन्य गौतम समर्थन
1,सोमे कोलि नन्दि बौलायो केहो भ्रष्टचार देखिन
0,सभ्य नागरिक सिकौ
1,सर्लाही प्रहरी झुटो बचेरा रिपोटिङ्ग गरे सुचना सत्य तथ्य छान बिन गरेरा कामकारबाही
1,पुलिस देखाउने दात एउटा चपाउने दात एउटा
1,पुन्य बाैला लावलागदैन जेपनि बाेन
1,केशव बडाल माते चढे केपि कट्टु जस्ता बहस ल्याएर न्यायोचित जवाफ आउला लाग्दैन
0,बक्ता भुषण दाहाल स्टुडियो सयोजक श्री रबिन्द्र मिश्र अन्तरबार्ता सार्है सान्दर्भिक लाग्यो
0,राज गद्दी पहिर्याउन अबेर नगरौं
1,यस्था भ्रष्ट नेता सिधै इन्काउन्टर पाइन्छ नाइ
0,रबि आजै आट पाउँछन् काम रबि बल थाहा पाए फ्यान कति रहिछ्न
0,पुनः राजतन्त्र अवश्य देश
0,प्रश्नकर्ता सुशील पाण्डे सर सलाम
1,डा केसी काम खाली आलोचना मात्रा सिन्का भाच्दैन
0,पत्रकार महोदय सम्पुण नेपालि द्ववारिकालाल चौधरि साब सहि
1,हिजो बिरोद गरे मुला
1,यही स्थिति रहे नेकपा वर्ष पतन
0,भातामारा कुलमान सर असल इमानदार ब्यक्ति
1,हुनत हामि हजुर राष्ट्रपती भन्न घिन लाग्नथाल्यो हजुर हजुर बानी व्यवहार बोल्ने शैली हजुर गरे सम्पुर्ण काम् धिक्कार लागेर आउच
1,सिस्टम गलत भर्स्तचार अन्त्य समुनत मुलुक निम्ती दलाल ब्यस्था अन्त्य अनिबार्य भयकोछ
1,मुर्दार पत्रकार कहलिय कुन्नी
1,बाहुन अर्ब भ्रष्टाचार मुद्धा दोषि ठहर तैँ चुप चुप अवस्था
1,यात्रा बाट देश बिकास
0,देश नेपाल मन्त्री नेता पाउर एसतै जिमिबार केपि ओली प्रधानमन्त्री लेनु
1,रामकृष्ण ढकाल सर ठगन भियाए सर्वसाधारण कति ठगे संस्था माथी छानबिन कडा कडा कार्वाही होस
1,मुजि नगेन्द्र गणतन्त्र झोले अनि चाकरी
1,बेबश्था खारेज कथित नेता जेल कोच्नु
1,नेपाल नेता गगन दाई अरु सब चोर संकालग्छ मसग बहस सुजाब दिन्छु
1,माचिक्ने प्रचन्द गोलि हान्छु रादि छोरा देश दोर्ही जनता पशिना चुसिरा छस मुजि प्रत्र कार
1,वाईडवडी खरीद समलग्न भ्रष्टचारी फाँसी
1,डिपार्टमेंट बचाउन गलत बयान जनता सुरक्षा दिन मरूनजेल कुट्ने पुलिस काम
1,झट नी बुज्ने भनुँ परो टाईम पास पत्रकार ज्यु
0,धर्म संस्कृत जोगाउन नेवार नभइ बाहुन छेत्री तामाङ छेत्र मान्छे सडक आउनुपर्छ
0,मान्छे भगवान सक्दैन भगवान भनि स्वार्थ पुरा दुनियाँ उल्टो बनाउछ छिटो छोटो कारवाही
1,पर्स्ट अहङ्कार राष्टपति गरिमामय पद बसि कसैकोसारिरिक अपाङ्गता खिल्लि उडाउनु बिडम्बना अरुके हुनसक्छ देश हामि जनता
1,याे लिने पत्रुकार पृत पत्रुकार घाेषणा
1,तिहाइ काे सरकार भनेर कम्निस्ट नालायक सरकार फुर्ति नलगाय
1,खाते नाक भाच्नेगरि हान्न जन्ता हेर्न चाहान्छन
0,मेयर साहव जिन्दावाद
0,राजा अाउ देस बचाउ
0,चोर छन यिनी कड़ा कड़ा कर्बाही होस
1,बौलाएर भालु बरबराएर नांगै हिडीछे पार्टी निस्कासन अहिले बौलाऊदै हिडीछे बेश्या लय आईमाई
0,नारायण मान ज्यु नमस्कार तताउनै जनता
1,काङ्ग्रेस भस्ट्चार चोर भनेर कम्युनिस्ट बलत्कार हत्यारा भनेर यस्ता कुकुर भोट दिएर हुदैन हामि सचेत भै सके चोर पत्यसाप
1,नेपाल पित पत्रकार छन है मेयर हक् स्वभाव अति मन
1,थुक्क रण्डी बोल्नु बोल्नु हुदैन थाहाँ
1,अरु होइना बाम एक्ता चोर फटा गुणडा समुह
0,सुरेन्द्र सर नमन सधै देश बोल्नु जनता सचेत बनाउनु
0,देश स्थिति हेरेर हजुर लिड गरिदिनु झन
0,सलाम रबि
1,रास्ट पति यहि बोल्ने सबे थुक यक नारि भयर मत च्यातेर रास्ट पति बना केपि तेहि तै आफनो सिरिमान हत्या गरे
0,भिम अर्जुन जी यक राजा भेट्नुस
0,सलाम रबि सर
1,अरिङगाले प्रवृत्ति सरकार प्रस्न गर्नै नहुने
1,न्यूज कायॅक्रम डिसलाइक गनेॅ झोले ठमेल अहिले प्याक हान्दै
0,ईमानदार सत्चा रास्ट्र निर्माता कुलमान घिशिङ्ग सर
0,प्रत्रकार माेहदय बस्तम चाैधरि जति काे ईमान्दार मान्छे अर्काे मान्छे खाेजेर ईन्टरभिउ लिनु अनि तपाई काे ईन्टरभियु काे ईमान्दारिता काे खाेज्नु कुन क्षेत्र खाेज्नु राजेन्द जि
1,बम बहीनी निर्दोष छन दुईमुखे साबीत्री चाही काम आधा पैसा बिक्ने टी
1,कान बोल्दा नबुझ्ने नसुन्ने गाउँ गाउ चीत्कार थुक्क
1,इटहरी मेयर भ्रष्टाचारी संरक्षक पक्षपोषक भतुवा पत्रकार लोपारिदिन्छु चै कानुन हात लिए
0,निति व्यबहार पार्टी
1,धमला सुन्दै रिस उठ्छ
0,पुन्य कुकुरलाइ गुउ खुवाउन अनि यस् सहि बोल्छ
0,देश भक्त मेर येस्ता मेर हर ठाउ भय देश बन्छ
0,विषय वस्तु सुकै होस सुशिल लाइक दिएँ
1,चुके नेता
1,यिनी चिक्ने जन्म कैद मान्छे
1,एकचोटी दिएर हेरौ साझा पार्टि अनि नगरे खण्ड भनौ पार्टी चेन्ज गरौ अबिस्वास गरौ
0,जन्ता लगि भय कुल्मान घिसिङ सर जय होस
0,शुसासन देख्ने सचेत नागरिक हजुर छै
1,पोइ मारेर ठाउँ पुग्ने इज्जत था
0,सच्चा नेपाली हैौ मेयर जय नेपाल
0,नेपाली चीन बाट सिक्नु
0,डा भिमार्जुन तपाइ बिचार अभिब्यक्ति सुरु हेरे तपाइ बिचार पुर्ण सहमत
0,सहि कुलमान ज्यु नतिर्ने विद्युत काट्नै
0,डिउटी साहु डर बसेर भयनी हेरियो सिधा जनता सङ्ग
0,सर्लाई राै मान्छे बिप्लब काे पक्ष जुरुक उठिसके
0,नेपाल नेपालि खुसि दिन
0,गगन सर सहि
1,सि जि पिङ स्वागत भव्य है दाम्ना
0,सोच्ने कुरो प्रधानमन्त्री जानुपर्छ रोजाई हजुर प्रधानमन्त्री
0,नेता जनर्दान नेपालि भगवान कुलमान हेर्छु अरु कुकुर हैन
0,ढाट्नू है रबि ठाउँ देख्दा खुसी आँसु झार्नु
0,डाका उद्योग गरे भो बिदेशी कमपनि धमाधम भित्रीन्छ लुटमारा
0,राजा आउ देश बचाउ प्रचन्ड् चोर डाँ देश बाटा भगाऊ
0,रबी जी चितवन लाखौ जनता भेंटी सम्बोधन गरनुस
0,पुलिस हाकिम साला
1,कुल मान जि तापाई चिन्त नगर्नु जस् जस् बिजुली बिल तिर्दैन मान्छे कुता मरि दिन्छु
1,घाँस रास्ट्रपति कस्ता कस्ता विद्वान बिदेश पसेर काम गर्नुपरे यस्ता देस सासन चलाय
0,होनि तरिका गरे हुँदैन
1,नेता भनाउद भ्रष्टाचार नगर्नेहो कर्मचारी भ्रष्टाचार कुरै आउदैन देश कर्मचारी जन्ता बिगार्ने यिनै चोर नेता
1,नेपाल प्रहरी लुटेरा सून तस्करी सुन्तली धामि बलात्कार सोझासझा जनता मार्छ अङ्गभङ्ग पार्छ यतना गाजा तस्करी निर्मला पन्त हत्यारा लुकाउछ भन्नू अरु
1,दुइ जना हेर्दै भिलेन
0,जन भावना सडक देखिए सरकार बितिस्ना राजाबादी नजर हेर्नु आखा चस्मापो बद्ल्नु पर्नी
1,याे डिस लाईक हात किरा परेर झरि जा वस
1,मुजि नगेन्द्र साही तेरो पार्टी योगदान मुजि देशद्रही जंगली तेरो केपि प्रचण्ड बना देश तेरो बाउ बिर्ता
1,नेपाल पुलिस चोर चोर नेपाल पुलिस निलो रङ बड्दि् लगाय गुन्डा
0,स्वागत चिनियाँ राष्टपति
1,जोसु भएनी भ्रस्टचारी चै छोड्नु हुन्न है
0,सप्ताहा पुरान बसाउ है जान्ने लागो रातो कोटे भाइ
0,सुशील भाइ खरो प्रस्न सामना गारो तेसै भग्छ्न नालाएक भ्रष्टाचार
0,बिदेश बस्ने युवा भोटीङ सुबिधा साझा पाटि जित सित यसैले अहिले नेता भनाउदा सुबिधा दिन चाँहादैन साझा बिदेश बस्ने युबा रुचाउँछन् साझा
